responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,3,4,3,4,5,4,5,4
er2,3,3,5,5,3,5,5,5
er3,1,1,1,1,2,1,2,2
er4,4,5,4,5,5,5,5,5
er5,3,3,4,4,2,2,4,3
er6,1,3,2,2,3,3,3,3
er7,4,4,4,3,4,4,4,4
er8,2,2,2,2,2,2,2,2
er9,3,2,3,3,2,1,3,4
er10,5,4,4,5,4,4,5,4
er11,5,5,4,4,5,5,5,5
er12,4,5,4,5,5,5,4,4
er13,5,5,2,5,4,5,5,5
er14,3,5,4,5,5,4,4,4
er15,4,5,5,5,5,4,5,5
er16,2,3,3,2,4,4,4,4
er17,5,5,5,5,5,5,5,5
er18,4,5,4,4,4,3,4,4
er19,5,5,5,5,5,5,5,5
er20,5,4,5,4,5,4,5,5
er21,5,5,4,5,5,5,5,4
er22,5,5,4,4,5,4,5,4
er23,3,4,4,3,5,4,5,4
er24,5,5,4,4,4,5,4,4
er25,5,4,4,4,5,4,4,5
er26,5,4,4,4,3,5,5,4
er27,4,5,4,5,5,4,5,4
