responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,5,3,4,3,4,3,4,3
er2,5,3,5,1,3,5,5,5
er3,3,3,3,3,3,3,3,2
er4,5,5,3,3,5,4,5,3
er5,4,5,5,4,4,5,4,5
er6,2,3,3,3,3,3,2,2
er7,3,3,3,2,3,3,3,2
er8,3,2,3,3,2,3,3,3
er9,4,5,4,4,5,5,4,5
er10,5,5,4,4,4,5,4,4
er11,5,5,4,4,5,4,5,4
er12,5,5,5,5,4,5,5,5
er13,5,5,1,5,3,5,5,5
er14,4,4,5,5,4,5,5,5
er15,4,4,5,4,5,5,5,5
er16,4,4,4,4,5,4,5,4
er17,5,5,5,4,4,5,5,5
er18,5,5,5,5,5,5,5,5
er19,5,5,5,4,4,4,4,5
er20,5,5,5,5,4,4,5,4
er21,5,5,4,4,5,5,4,5
er22,5,5,4,4,4,4,4,5
er23,5,5,4,4,5,4,5,4
er24,5,5,4,5,4,5,5,5
er25,5,4,5,4,5,4,5,5
er26,5,5,4,5,4,5,4,5
er27,5,5,4,5,4,5,4,5
