responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,2,4,3,4,3,4,4,3
er2,5,5,5,5,4,5,5,5
er3,2,2,2,2,2,2,3,3
er4,5,3,3,4,5,4,4,4
er5,5,4,4,5,5,4,4,4
er6,1,1,2,2,1,1,1,1
er7,5,5,5,5,5,5,5,5
er8,2,2,2,2,2,2,2,2
er9,4,4,5,4,4,4,4,4
er10,5,4,3,4,3,4,4,3
er11,4,4,3,4,3,4,4,5
er12,5,4,4,4,4,5,4,4
er13,5,5,5,4,4,5,5,5
er14,4,3,5,3,3,3,3,3
er15,4,4,4,4,3,3,3,3
er16,4,4,4,4,4,4,4,4
er17,4,5,5,4,4,5,5,5
er18,4,5,4,5,4,4,5,4
er19,5,4,5,5,5,4,5,5
er20,4,5,4,4,5,4,4,5
er21,4,5,4,4,5,4,4,4
er22,4,4,3,4,5,4,4,4
er23,5,5,4,4,5,4,5,4
er24,5,4,4,5,4,4,5,4
er25,5,4,4,5,4,4,5,5
er26,5,4,5,4,5,4,4,5
er27,4,5,4,5,5,4,4,5
