responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,4,5,4,5,4,5,4,5
er2,5,5,1,2,1,5,5,5
er3,2,2,2,1,2,2,2,2
er4,4,3,4,4,2,5,5,5
er5,4,3,4,4,3,3,4,3
er6,1,1,1,1,1,1,1,1
er7,3,3,3,3,3,3,3,3
er8,3,2,3,3,3,3,2,3
er9,5,5,5,4,4,4,4,4
er10,4,5,4,4,5,4,4,4
er11,4,4,4,4,3,4,3,4
er12,4,4,3,4,4,5,4,5
er13,5,5,4,4,4,4,4,4
er14,5,4,4,4,4,5,4,4
er15,5,4,5,4,3,3,3,3
er16,3,3,3,3,3,3,2,5
er17,4,4,5,4,4,5,4,4
er18,4,5,4,5,4,5,4,4
er19,4,4,5,4,5,4,5,4
er20,5,4,4,5,5,4,5,4
er21,4,5,4,5,4,4,5,4
er22,5,4,5,4,5,4,5,4
er23,4,5,4,4,5,4,4,4
er24,4,5,4,5,5,4,5,4
er25,5,5,5,5,5,5,5,5
er26,4,5,4,5,5,4,5,4
er27,4,4,5,4,4,4,3,4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
