responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,3,4,5,4,5,4,5,4
er2,5,5,1,3,5,5,5,5
er3,3,3,2,2,1,3,1,2
er4,4,4,5,5,5,5,4,5
er5,4,5,4,3,4,5,4,3
er6,3,1,1,1,1,1,1,2
er7,5,5,5,5,5,5,5,5
er8,1,2,1,1,2,2,2,2
er9,5,5,5,5,5,5,5,5
er10,4,5,4,4,3,4,4,4
er11,5,3,3,2,3,1,1,4
er12,4,4,5,4,5,4,4,4
er13,5,5,3,5,5,5,5,5
er14,5,4,3,3,3,3,3,3
er15,5,4,5,5,2,2,2,2
er16,3,3,3,3,3,3,3,3
er17,3,4,3,4,3,4,3,3
er18,4,3,4,5,4,5,4,5
er19,3,4,4,4,3,4,3,4
er20,4,5,4,5,5,4,4,4
er21,4,5,4,5,4,4,5,4
er22,5,5,4,4,4,4,5,4
er23,4,5,4,4,5,4,4,5
er24,4,5,4,5,4,5,4,5
er25,5,5,4,4,4,4,5,5
er26,4,5,4,5,4,5,4,5
er27,4,5,4,5,4,5,4,5
